"date","ghi"
20060102,126.541685862955
20060103,136.224144433763
20060104,132.897203172931
20060105,140.260870718946
20060107,130.329138505362
20060108,134.219152976831
20060111,146.711223487219
20060114,153.200031017415
20060118,154.366170859185
20060119,107.260534017308
20060121,142.230236589474
20060122,9.00427013389474
20060124,159.416641258507
20060125,168.395580379675
20060126,146.31777808206
20060127,129.790189816026
20060129,170.318132315139
20060130,130.631502392553
20060131,237.857092745546
20060201,124.355077405318
20060204,182.433712183774
20060205,129.685560997619
20060207,189.596750774222
20060209,194.709876712558
20060210,32.2198079734904
20060213,200.056972566288
20060214,154.198711671062
20060217,110.653719406438
20060219,66.7864508138034
20060221,103.304316915086
20060223,144.993605847122
20060224,160.728240257074
20060226,227.497624540723
20060227,219.920910835876
20060228,277.972438058621
20060301,215.667281268444
20060302,215.797228468261
20060303,227.022747552026
20060304,228.143058354286
20060306,235.282011845684
20060307,232.98882384586
20060308,129.136680138985
20060310,240.653811718401
20060312,170.722756738612
20060314,265.207804227015
20060315,259.239978122128
20060316,115.758641274836
20060317,254.95870924617
20060318,194.776236340381
20060320,27.432347496732
20060322,258.729058491468
20060324,272.465486817745
20060325,259.802352537457
20060326,280.032171022527
20060328,172.945946649535
20060329,280.157412284483
20060330,250.706555047403
20060403,284.198502387131
20060404,286.28945749443
20060406,175.944933202193
20060409,308.483295422863
20060410,302.475455702953
20060411,281.47536658043
20060412,276.428794993709
20060413,284.382526892833
20060414,269.770347537691
20060415,289.359809565591
20060416,229.159029799358
20060417,254.408600831223
20060418,291.868102350216
20060422,302.394411004946
20060423,302.496422920557
20060424,306.453858225541
20060427,324.327594360776
20060428,285.066988864741
20060430,386.20149091884
20060502,253.763867771762
20060504,146.457546265011
20060511,341.429017612924
20060512,346.248368270588
20060514,314.425096710169
20060517,306.954142069451
20060518,304.969675129135
20060519,322.487986199399
20060520,332.381911096855
20060521,300.998711560515
20060522,292.288060462473
20060523,318.526101226141
20060524,315.308880135443
20060525,302.944721201878
20060526,290.645673905474
20060527,315.905198090948
20060528,322.508347288837
20060603,337.818442686517
20060605,362.401494633519
20060606,318.53719286271
20060607,334.988269276079
20060608,317.412326314563
20060609,357.245197503057
20060610,349.86541893731
20060611,337.78569035219
20060612,304.721764199122
20060613,358.07009760067
20060614,363.088144725813
20060615,351.8169853
20060616,257.502570994205
20060619,334.670114487651
20060620,354.905805885065
20060621,330.029684126483
20060622,327.686530031044
20060626,317.628810124807
20060627,355.141514219518
20060628,355.192055300547
20060629,351.104026116732
20060630,423.297648466759
20060702,309.512259746061
20060704,257.53741525469
20060706,345.130653544181
20060707,346.859256705857
20060708,274.494083666304
20060709,328.893313249454
20060710,257.879348481878
20060712,290.756999341542
20060714,329.123765549679
20060715,333.789901965425
20060716,336.982779797716
20060717,339.151917017749
20060718,326.686501287171
20060719,308.273573514868
20060720,290.430436529614
20060721,314.439104738684
20060722,238.050399063816
20060723,347.769308970542
20060724,304.247491606362
20060725,306.403421288428
20060730,304.755292141182
20060731,362.95076204581
20060802,298.409697501078
20060803,319.928718996112
20060804,315.049638612203
20060805,289.543492177674
20060806,291.936544335415
20060809,299.545004500871
20060814,306.677848844594
20060815,286.253265280691
20060816,311.643633105376
20060817,317.637874035447
20060818,266.0801871939
20060819,275.548316443818
20060820,277.091422514074
20060823,261.734789620286
20060824,292.96032187819
20060831,294.23734563117
20060901,145.769879125055
20060902,245.451426118221
20060903,190.935523166236
20060904,259.435772093319
20060906,284.841924062629
20060907,279.252039493024
20060908,248.893285137093
20060910,234.506173528268
20060913,272.144477328541
20060914,267.193760886739
20060915,277.989325401917
20060916,244.575532578609
20060919,265.133549408913
20060920,270.629032187809
20060921,263.757781666093
20060925,253.091291230564
20060926,251.553681810239
20060927,240.385690687944
20060928,213.867327792516
20060930,267.336460608478
20061001,227.476440911478
20061002,182.822440920471
20061003,213.295501940786
20061005,186.800632121304
20061007,240.985314412363
20061009,208.233442122516
20061020,213.377114197143
20061021,203.432773162191
20061024,199.897088574989
20061028,190.715459405662
20061029,182.321173224971
20061030,132.564878663478
20061108,162.107979823082
20061112,178.208370329371
20061117,156.839756341443
20061118,158.675912761739
20061119,155.747179619261
20061120,162.069784055174
20061126,146.117344488197
20061127,127.54444285987
20061203,134.646920609188
20070103,122.017377119631
20070110,146.94268743887
20070124,100.120620381652
20070205,171.689641135488
20070214,156.097122315699
20070219,197.047401916478
20070222,219.68444358813
20070225,222.97828172897
20070226,225.182071272237
20070227,229.158647378963
20070228,224.475318923029
20070302,239.240228059935
20070303,235.192622129376
20070304,250.414194974409
20070305,239.581020035292
20070306,207.023328382723
20070307,235.875389375456
20070308,235.843817620742
20070309,201.639895528091
20070312,185.172517980215
20070316,264.108930513305
20070317,249.698480946846
20070318,250.949819770996
20070319,191.81604060284
20070321,209.76459990614
20070322,251.289434111761
20070323,257.885990231085
20070324,257.311807100435
20070325,209.949475228728
20070330,227.348914286074
20070401,217.550586639387
20070403,234.352423979785
20070404,261.217197254701
20070405,301.591445406183
20070407,311.114577247265
20070409,263.659943804577
20070412,311.747310772731
20070416,317.581322658326
20070417,321.850697252996
20070419,319.228858082386
20070420,308.690167595508
20070421,316.950876013456
20070422,307.172014756129
20070427,329.179242202565
20070428,322.171814456867
20070429,327.55757586847
20070430,413.588679146429
20070501,280.432530801354
20070505,213.507186901188
20070507,301.759552109719
20070513,330.427342494518
20070514,353.866239349787
20070517,336.153514246272
20070518,356.782342462745
20070519,364.352233168446
20070520,353.46228571895
20070521,331.917979224879
20070523,314.27542077378
20070524,299.117821187105
20070606,345.080100557265
20070613,332.006051580574
20070629,338.452582528319
20070831,346.978081389076
20070929,244.305955018621
20080207,185.79025870565
20080208,185.658478525708
20080210,190.536703975163
20080214,189.897150183926
20080227,202.212241874585
20080301,228.101896879614
20080305,238.493500635748
20080308,247.50244108538
20080309,252.985289698891
20080312,247.459865976667
20080316,250.971272619438
20080320,271.767305724848
20080321,269.011226303047
20080322,268.233106394502
20080323,253.995612678581
20080324,281.729498524201
20080325,275.391652804473
20080406,242.670694742939
20080407,285.998727764783
20080412,311.302598474678
20080415,320.197819628455
20080416,311.731977871493
20080419,315.3797266186
20080420,290.005569270753
20080421,313.09674881403
20080423,314.335467676264
20080425,304.859867536667
20080430,413.927032525397
20080501,230.172813530655
20080503,333.205081333192
20080504,338.24816524458
20080505,327.536280895388
20080506,262.897643459268
20080507,244.748129891613
20080508,183.134852196239
20080509,309.649680344883
20080510,177.31036746087
20080511,335.524947658613
20080512,355.171448187158
20080513,157.376571741522
20080515,159.298243736957
20080516,254.796582623061
20080517,326.942758972944
20080519,342.416725412
20080520,323.396603812842
20080521,338.805065208977
20080522,303.038516547794
20080523,231.045957298301
20080524,194.023768887742
20080525,318.479038097034
20080526,290.657436673517
20080528,171.43957936886
20080529,169.517050004661
20080530,308.485071994093
20080531,358.26454959712
20080601,202.007458823106
20080602,278.013879572573
20080603,328.375219490776
20080604,299.52485485518
