"date","ghi"
20060828,138.961363986451
20060829,136.462427867391
20060830,58.2639044017094
20060831,197.938163598998
20060901,59.2130503685345
20060902,28.3979547944915
20060903,93.12891359718
20060904,178.672839986875
20060907,227.618549802879
20060908,200.816605024518
20060910,166.397056145417
20060911,28.8253541695279
20060912,36.3395779957265
20060913,63.7704411829787
20060915,125.334280215696
20060916,106.149645591858
20060917,211.860949397095
20060918,232.660445166438
20060919,208.04306695084
20060920,103.497832808836
20060921,177.756740956652
20060922,181.960086768344
20060923,100.97571764135
20060925,228.94197983711
20060926,188.183937475202
20060927,186.282253478532
20060929,147.484169742779
20060930,91.9618196493703
20061001,129.300401555117
20061002,197.669640379133
20061003,122.322093625847
20061004,109.827869508263
20061005,192.850780159205
20061006,110.049787953263
20061007,119.935097563236
20061008,195.327848817953
20061009,188.556189805256
20061010,168.720662195188
20061011,77.4136832983193
20061012,112.27085415546
20061013,189.560859836954
20061014,165.290632542285
20061015,166.587797593312
20061016,142.581754435637
20061017,31.5658321377358
20061018,60.8720565270042
20061019,129.148405138854
20061020,48.9941144223881
20061021,112.904862236208
20061023,54.4581020849673
20061024,50.4495434386117
20061025,78.0452827216561
20061026,140.204195285126
20061027,44.044298251046
20061029,127.069474611127
20061030,157.23583763935
20061031,154.464061897333
20061101,89.0831462704403
20061102,142.143007957983
20061103,72.1681610887657
20061104,134.664883447208
20061105,97.560432642
20061106,123.718260461104
20061107,35.9609813262054
20061108,25.5866135517241
20061109,109.6610710463
20061110,133.551653893634
20061111,74.7859774292026
20061112,15.2972685492662
20061113,15.5446988624217
20061114,43.1046014035417
20061115,54.452657150566
20061116,12.1173726841772
20061118,25.9989728690795
20061119,43.9821976572917
20061120,36.0995136329167
20061121,127.47698241229
20061122,85.3820677230833
20061123,36.5186543029792
20061124,120.837187480316
20061125,117.796664287592
20061126,94.1065371793082
20061127,82.1907575462025
20061128,60.9709931935417
20061129,31.4002219225941
20061130,46.6222566379404
20061202,33.5409267733193
20061203,112.540517923646
20061204,71.4193627447479
20061205,57.3814766714043
20061206,96.6129007358542
20061207,53.6366397719149
20061208,74.1902359285178
20061209,110.028703939373
20061210,107.102098626816
20061211,65.9104085111875
20061212,93.7854367320459
20061213,81.770312555625
20061214,96.7209006083958
20061215,65.5553371627409
20061216,91.4936193428125
20061217,51.8431260475584
20061218,25.308494116159
20061219,73.6955190912292
20061220,104.205591527311
20061221,31.1561199054622
20061222,30.3745750205451
20061223,84.6358563754043
20061224,49.9494995339112
20061225,27.558490594307
20061227,70.0578286963291
20061228,54.0820583747708
20061229,71.0207519840292
20061230,93.1128107620833
20061231,57.0748815582105
20070102,101.392881266979
20070103,111.191630199079
20070104,83.6685309859414
20070105,23.4451263283582
20070107,64.9932979916387
20070109,49.5464816233766
20070111,108.201095538833
20070112,11.6395066621842
20070113,15.1908164611465
20070114,13.420859065304
20070115,9.53146321102979
20070116,37.8302532429474
20070117,108.172244408771
20070118,76.2381142321548
20070120,67.509426988
20070121,34.0739661138205
20070122,27.9229565922622
20070123,66.3105408864979
20070124,61.9419419389263
