"date","ghi"
20080916,227.352778926573
20080917,269.889050258212
20080918,282.558833094589
20080919,266.954522627363
20080920,287.501971096049
20080925,247.198402828721
20080926,280.073249202889
20080927,202.691573889168
20080928,283.406044438878
20080929,284.938057423408
20080930,214.960241344624
20081001,262.239689525961
20081002,289.945708028604
20081003,278.956220140397
20081004,216.748949941619
20081005,268.396538374376
20081006,281.876184820919
20081007,256.57954672874
20081008,227.269141243453
20081014,284.18467356299
20081015,292.148155182556
20081101,322.870589021618
20081102,320.056263271006
20081103,266.289598489189
20081104,312.373240201141
20081105,319.195479591042
20081106,322.224260704792
20081107,317.397472964417
20081108,299.937460968192
20081109,280.394445350399
20081110,274.702583275915
20081111,292.670251805085
20081112,269.896097322116
20081113,278.747818982732
20081114,272.340185816901
20081115,317.871691731424
20081116,318.692549345194
20081117,293.526185350345
20081118,260.942193437368
20081119,307.114287856326
20081120,285.768218978403
20081121,308.991337152292
20081122,303.202022666851
20081123,304.961697910551
20081124,253.635899442013
20081125,251.798760592455
20081126,283.538340435288
20081127,268.49016475405
20081128,311.222560736534
20081130,256.909779664042
20081209,282.300199354066
20081211,287.487892073879
20081212,261.343059668846
20081213,252.469493219192
20081214,272.569888215688
20081215,290.540259939424
20081217,273.99178311763
20081218,248.029640545223
20081219,318.671801583387
20081220,276.186110347889
20081224,253.465295948142
20081225,296.468610690559
20081226,264.240541293802
20090101,307.701400352146
20090106,275.7333433225
20090109,278.897525498141
20090111,255.064154092969
20090112,292.210857710755
20090113,294.350865938792
20090114,275.74163442801
20090115,313.257667856537
20090116,275.128172368169
20090120,313.553037496608
20090123,124.29912063646
20090124,275.252556689736
20090125,213.342644517033
20090126,260.251937443248
20090127,296.003985947113
20090128,262.867731399187
20090129,307.50623540042
20090130,264.92553016043
20090131,299.697830383279
20090201,296.290533804593
20090203,219.947165421739
20090204,282.337985530168
20090205,294.722985339597
20090206,258.742926441494
20090207,266.811533394057
20090208,271.957270026743
20090209,279.723322366956
20090210,315.072982699506
20090211,280.942101921501
20090212,301.54067745456
20090213,269.359690308063
20090216,221.132867953231
20090217,279.1075706974
20090221,200.668789384444
20090225,219.015152177479
20090226,240.017195564239
20090227,277.623064813977
20090228,257.756503507669
20090301,229.13419854708
20090302,256.732418627348
20090303,240.281961691826
20090305,278.505133546204
20090317,200.838559224057
20090318,260.165015628414
20090319,236.521855155647
20090320,283.81290358
20090321,276.069163163506
20090401,234.313492427185
20090402,251.201088716702
20090403,221.668137952977
