"date","ghi"
20060102,83.4614349157543
20060103,134.264780120126
20060105,134.491490131688
20060106,138.014927920378
20060107,138.853035900629
20060108,134.851915662526
20060109,140.781165985074
20060110,144.541338791516
20060112,137.767972161197
20060113,142.140221609072
20060115,151.333907851329
20060116,149.884612541087
20060117,131.871539329915
20060118,143.574174881635
20060119,155.327493063924
20060120,156.645295934193
20060121,151.079725021139
20060122,150.113450673177
20060123,158.189100305285
20060125,156.733808419538
20060126,159.406835623586
20060127,157.938272487606
20060128,111.740949355299
20060129,155.067215817757
20060130,165.382742051176
20060131,247.939025005304
20060201,168.459517848159
20060202,162.97108592272
20060203,170.300604665735
20060204,139.855726457683
20060205,182.618421483156
20060206,182.17279976272
20060207,182.081908201135
20060208,190.907316075851
20060209,194.005221697198
20060210,195.655250479701
20060211,200.6671631463
20060212,185.22639144117
20060213,195.920314592799
20060214,190.166748174892
20060215,192.244341667891
20060216,203.78042548817
20060217,200.153509189072
20060218,202.410860728589
20060220,183.174588342328
20060221,217.722740660591
20060222,216.642099151525
20060223,219.372326545291
20060224,221.884763145294
20060225,223.309440013726
20060226,165.406878441209
20060228,277.302821846254
20060301,227.258588815966
20060302,234.872327701807
20060304,236.030983353704
20060305,214.313532219578
20060307,177.790532808742
20060308,215.45800066271
20060309,241.046638743466
20060311,234.728073446288
20060312,235.694538148376
20060313,256.66533542975
20060314,253.260373893606
20060315,263.310151825816
20060316,178.923807095624
20060320,224.366144871983
20060322,268.959258489353
20060323,273.433277792474
20060324,240.229943896851
20060325,258.940672912866
20060326,265.375725454633
20060329,272.184738894816
20060330,246.381944302516
20060331,203.153047802295
20060401,194.633932268487
20060402,270.919304630726
20060407,309.26298395523
20060408,312.864571533583
20060409,302.19795769375
20060410,260.801594158996
20060411,253.28613655671
20060412,318.705836214167
20060413,321.542203710837
20060415,287.527064021294
20060416,319.12206008125
20060417,315.277174484144
20060418,331.067363480625
20060419,333.859104902714
20060420,327.572009087259
20060421,267.615113937143
20060422,334.581424558542
20060423,251.842650505485
20060424,335.014485302505
20060425,327.13114481521
20060426,224.748292096042
20060428,343.1331477559
20060429,344.041818575368
20060430,444.216336484643
20060501,330.330811759499
20060502,334.577431431812
20060503,334.710397647992
20060505,320.811155603165
20060506,341.176699412129
20060507,343.333052221458
20060508,342.126890996868
20060509,347.452663475417
20060510,348.041014452092
20060511,302.029176647808
20060512,342.127671019538
20060513,351.588304250798
20060514,351.592320202731
20060517,316.34200057463
20060519,349.669667027349
20060520,329.030910726834
20060523,355.093828373125
20060524,363.568263430544
20060525,364.535668545693
20060526,351.651739573382
20060527,324.866608648059
20060528,361.215314872017
20060529,366.750411381172
20060530,363.341683955556
20060531,464.979890877113
20060601,367.406946104802
20060602,330.145719828389
20060603,362.200748387029
20060604,348.889651013919
20060605,354.122274016348
20060606,313.585492536266
20060608,307.377523024078
20060609,373.967903128318
20060610,376.78178783915
20060611,381.932872851464
20060612,381.812938760126
20060614,343.950497983507
20060615,335.056146063655
20060616,383.002856425768
20060617,386.331281770886
20060618,381.090094755031
20060619,384.384791395318
20060620,373.807245506387
20060621,382.562899613523
20060622,380.680003308947
20060623,381.074147998097
20060624,348.840331702418
20060625,370.796593134025
20060626,361.352321484141
20060629,357.347469225921
20060630,462.963146689647
20060701,349.13086540225
20060702,354.396749300776
20060703,273.006207378448
20060704,298.80009360636
20060705,344.933615798745
20060706,345.443544397704
20060709,227.911393246638
20060710,348.274874793125
20060711,347.626657044812
20060712,366.417230408595
20060713,383.824777741684
20060714,342.822190297689
20060715,362.758395559087
20060716,351.719906282105
20060717,340.6525461827
20060718,283.966702384061
20060720,289.449320421145
20060721,344.405678673904
20060724,341.672516851464
20060726,297.541343478834
20060727,342.756084240881
20060728,333.871337983857
20060729,327.461247155115
20060730,331.689252871458
20060731,436.182279713824
20060801,349.719790882563
20060802,347.035127329163
